A;B;C;D;E;F;G;H
0.0;0.0;0.0;0.0;0.0;10.0538;18.0761;10053800.0
0.0;0.0;0.0;0.0;0.0;18.0761;8.7108;18076100.0
0.0;0.0;0.0;0.0;0.0;8.7108;0.0;8710800.0
0.0;0.0;0.0;0.0;0.0;0.0;9.4817;0.0
0.0;0.0;0.0;0.0;0.0;9.4817;13.7232;9481750.0
0.0;0.0;0.0;0.0;0.0;13.7232;-0.0;13723250.0
0.0;0.0;0.0;0.0;0.0;-0.0;16.4925;-0.0
0.0;0.0;0.0;0.0;0.0;16.4925;14.5597;16492550.000000002
0.0;0.0;0.0;0.0;0.0;14.5597;16.7679;14559650.0
0.0;0.0;0.0;0.0;0.0;16.7679;-0.0;16767949.999999998
0.0;0.0;0.0;0.0;0.0;-0.0;13.3492;-0.0
0.0;0.0;0.0;0.0;0.0;13.3492;10.0147;13349250.0
0.0;0.0;0.0;0.0;0.0;10.0147;0.1261;10014700.0
0.0;0.0;0.0;0.0;0.0;0.1261;0.3519;126120.00000000001
0.0;0.0;0.0;0.0;0.0;0.3519;0.3698;351880.0
0.0;0.0;0.0;0.0;0.0;0.3698;0.3501;369820.0
0.0;0.0;0.0;0.0;0.0;0.3501;0.3257;350110.0
;;;;;0.3257;0.3248;325750.0
